time_s,fmu_outlet_temperature_c,twin_outlet_temperature_c,deviation_c
23497.29999979829,325.23268679078234,325.373000628414,-0.14031383763165195
23507.59999979814,325.20931584335636,325.3493449098771,-0.14002906652075353
23517.89999979799,325.1860233827515,325.3257618552062,-0.1397384724547237
23528.199999797842,325.1628285883833,325.3022676974836,-0.13943910910029444
23538.499999797692,325.1397134299739,325.2788772799116,-0.139163849937745
23548.799999797542,325.11667446289835,325.25555893504554,-0.1388844721471969
23559.099999797392,325.0937302154398,325.2323125772576,-0.13858236181778238
23569.399999797242,325.07086531029154,325.20917733607166,-0.1383120257801238
23579.699999797092,325.0481099254748,325.1861216785655,-0.13801175309066593
23589.999999796943,325.0254150421183,325.16313741685263,-0.1377223747343237
23600.299999796793,325.00283371402196,325.14023935330016,-0.1374056392781995
23610.599999796643,324.98031569863196,325.1174443605306,-0.13712866189865736
23620.899999796493,324.95786942983113,325.09472017227733,-0.13685074244619955
23631.199999796343,324.93553771755063,325.07206670291345,-0.13652898536281555
23641.499999796193,324.9132683471562,325.0495212557818,-0.13625290862563588
23651.799999796043,324.89109504412505,325.0270551186026,-0.1359600744775662
23662.099999795893,324.8689787657644,325.0046591091754,-0.13568034341102475
23672.399999795743,324.84698331555114,324.98234664006884,-0.13536332451769795
23682.699999795594,324.825049387411,324.96013653211276,-0.13508714470174255
23692.999999795444,324.8031932145329,324.9379959609967,-0.1348027464638335
23703.299999795294,324.78144759954176,324.91592484116507,-0.13447724162330132
23713.599999795144,324.7597478750403,324.89395869111803,-0.13421081607771157
23723.899999794994,324.73815061644797,324.8720715376162,-0.13392092116822596
23734.199999794844,324.7165920601087,324.850253244881,-0.13366118477227928
23744.499999794694,324.6951234407772,324.82851587675776,-0.13339243598056783
23754.799999794544,324.67377820729456,324.80688012139416,-0.1331019140995977
23765.099999794395,324.65251833976686,324.78531263671493,-0.13279429694807732
23775.399999794245,324.63132965830545,324.763813337303,-0.1324836789975734
23785.699999794095,324.61022322737574,324.74241599859647,-0.1321927712207298
23795.999999793945,324.589182299215,324.7210973045336,-0.13191500531860356
23806.299999793795,324.5682364577257,324.6998462062951,-0.1316097485694172
23816.599999793645,324.54737309558874,324.6786734601661,-0.1313003645773847
23826.899999793495,324.5265776523373,324.65760154116197,-0.1310238888246431
23837.199999793345,324.5058741092382,324.63659662917667,-0.13072251993844475
23847.499999793195,324.4852400837599,324.6156586389965,-0.13041855523658796
23857.799999793046,324.46469404997544,324.5948196451382,-0.13012559516278088
23868.099999792896,324.4442200906934,324.5740589067333,-0.12983881603986447
23878.399999792746,324.42382554890213,324.55336450220284,-0.12953895330070964
23888.699999792596,324.4034934479489,324.5327459214553,-0.12925247350636937
23898.999999792446,324.3832821257766,324.51222734647513,-0.1289452206985402
23909.299999792296,324.36312323821556,324.4917745182704,-0.1286512800548394
23919.599999792146,324.3430413199819,324.4713873518931,-0.12834603191117822
23929.899999791996,324.32304154354017,324.45109626336205,-0.12805471982187555
23940.199999791846,324.3031182733825,324.4308830050269,-0.1277647316443904
23950.499999791697,324.2832391248851,324.4107348225212,-0.1274956976361068
23960.799999791547,324.2634998479655,324.39065998051507,-0.1271601325495908
23971.099999791397,324.24381250476694,324.3706842887209,-0.12687178395395904
23981.399999791247,324.22420080872433,324.3507730877756,-0.1265722790512882
23991.699999791097,324.20465708125505,324.330926293057,-0.1262692118019686
24001.999999790947,324.18519803181556,324.3111727047162,-0.12597467290066788
24012.299999790797,324.16580629568375,324.2914964864835,-0.12569019079973032
24022.599999790647,324.1465031438074,324.27188409081486,-0.12538094700744296
24032.899999790498,324.12725932477076,324.2523425981744,-0.12508327340361802
24043.199999790348,324.1081050536671,324.23289936751803,-0.12479431385094131
24053.499999790198,324.0890291665207,324.21351937695897,-0.12449021043829589
24063.799999790048,324.0700206196252,324.1942025422578,-0.12418192263260153
24074.099999789898,324.0510832881035,324.17497609046393,-0.12389280236044442
24084.399999789748,324.0322182749746,324.1558265151075,-0.12360824013290994
24094.6999997896,324.0134383659607,324.1367395146678,-0.1233011487070712
24104.99999978945,323.99472593793803,324.1177210262702,-0.12299508833217487
24115.2999997893,323.9760949779122,324.0987998804803,-0.12270490256810263
24125.59999978915,323.9575251113929,324.0799407300322,-0.12241561863930883
24135.899999789,323.93904532373466,324.0611434911239,-0.12209816738925383
24146.19999978885,323.92062310643405,324.04243386053514,-0.12181075410109088
24156.4999997887,323.9022794849238,324.02380058038733,-0.1215210954635495
24166.79999978855,323.8840119005244,324.0052286339284,-0.12121673340402594
24177.0999997884,323.86580603131915,323.9867228555916,-0.12091682427245587
24187.39999978825,323.8476796305236,323.96831347085805,-0.1206338403344489
24197.6999997881,323.8296381516852,323.9499648434914,-0.1203266918062127
24207.99999978795,323.8116628506911,323.9316768901796,-0.120014039488467
24218.2999997878,323.79374267931024,323.91347382026487,-0.11973114095462734
24228.59999978765,323.77590175817136,323.8953465437321,-0.119444785560745
24238.8999997875,323.7581453977436,323.87727936684536,-0.11913396910176743
24249.19999978735,323.74045554792946,323.8592760617191,-0.11882051378961478
24259.4999997872,323.7228227396872,323.8413681730769,-0.11854543338967005
24269.79999978705,323.70523948119154,323.8235198113562,-0.11828033016467998
24280.0999997869,323.68778816592584,323.80573089378476,-0.11794272785891735
24290.39999978675,323.67038219985346,323.7880241850375,-0.11764198518403646
24300.6999997866,323.6530383771236,323.770392682818,-0.11735430569439131
24310.99999978645,323.63577036979126,323.7528200541167,-0.11704968432542273
24321.2999997863,323.6185623738055,323.7353090487781,-0.11674667497260316
24331.59999978615,323.60142949183756,323.7178924561954,-0.11646296435782233
24341.899999786,323.584372246503,323.70053416833156,-0.11616192182856366
24352.19999978585,323.56737705950303,323.6832341030015,-0.11585704349846537
24362.4999997857,323.5504505656726,323.66601362286093,-0.11556305718835347
24372.79999978555,323.5335934180258,323.6488677338679,-0.11527431584210035
24383.0999997854,323.51680173502683,323.63177950087436,-0.11497776584752728
24393.39999978525,323.500079231735,323.61475069113425,-0.11467145939923284
24403.6999997851,323.48343502653813,323.597815265307,-0.11438023876888792
24413.99999978495,323.46684404225215,323.580936930917,-0.11409288866485667
24424.299999784802,323.45033323112943,323.5641156064111,-0.11378237528168711
24434.599999784652,323.43388497673783,323.5473712948949,-0.11348631815707222
24444.899999784502,323.4175030697168,323.53070093188916,-0.11319786217234196
24455.199999784352,323.401185733458,323.51408701663286,-0.1129012831748355
24465.499999784202,323.38493536635093,323.4975303730537,-0.11259500670274747
24475.799999784052,323.3687623050948,323.48106606091187,-0.11230375581709495
24486.099999783903,323.3526366196019,323.46465763649013,-0.11202101688820676
24496.399999783753,323.33658996172363,323.44830501890993,-0.11171505718630215
24506.699999783603,323.32060452540867,323.43202689396264,-0.11142236855397414
24516.999999783453,323.30468022860885,323.4158220488982,-0.11114182028933328
24527.299999783303,323.2888352349745,323.3996724532274,-0.11083721825292514
24537.599999783153,323.2730464092988,323.3835780263591,-0.11053161706030323
24547.899999783003,323.2573303987844,323.36757485628794,-0.11024445750354062
24558.199999782853,323.24167909572924,323.35162638039355,-0.10994728466431525
24568.499999782704,323.2260806271468,323.3357325185125,-0.10965189136567233
24578.799999782554,323.21055302478084,323.31991068107374,-0.10935765629290017
24589.099999782404,323.19509123824275,323.3041614301618,-0.1090701919190451
24599.399999782254,323.1796937142032,323.28846624077323,-0.10877252657002145
24609.699999782104,323.1643514354669,323.2728250330457,-0.10847359757877939
24619.999999781954,323.1490778461608,323.25727225289154,-0.10819440673071767
24630.299999781804,323.133874082353,323.24177385105594,-0.10789976870296414
24640.599999781654,323.11872250465893,323.22632888119324,-0.10760637653430649
24650.899999781504,323.10365216183754,323.2109535199904,-0.10730135815288122
24661.199999781355,323.0886195088625,323.1956500284854,-0.10703051962286736
24671.499999781205,323.07367583044424,323.18039942167746,-0.1067235912332194
