scale_factor,time_s,state_of_charge,power_fraction_of_rated
0.5,32760.0,4.8140105221818695e-05,0.0005665627596258104
0.5,32832.0,4.590991839493284e-05,0.0005413908940269607
0.5,32904.0,4.377903201506788e-05,0.0005172851298063108
0.5,32976.0,4.1743229701406e-05,0.0004942029167196438
0.5,33048.0,3.979846387820206e-05,0.000472103276265301
0.5,33120.0,3.7940849515258844e-05,0.00045094674964119
0.5,33192.0,3.61666580758066e-05,0.0004306953471427732
0.5,33264.0,3.447231166720336e-05,0.00041131249896935167
0.5,33336.0,3.285437738912705e-05,0.0003927630074379351
0.5,33408.0,3.130956187238591e-05,0.00037501300053790484
0.5,33480.0,2.9834706003851273e-05,0.00035802988683002467
0.5,33552.0,2.8426779831635155e-05,0.0003417823116556917
0.5,33624.0,2.708287764557247e-05,0.0003262401146145066
0.5,33696.0,2.5800213227503027e-05,0.0003113742883066095
0.5,33768.0,2.4576115266822142e-05,0.0002971569382950178
0.5,33840.0,2.3408022935510018e-05,0.0002835612442687818
0.5,33912.0,2.2293481618589338e-05,0.00027056142237071864
0.5,33984.0,2.1230138795037578e-05,0.00025813268868333237
0.5,34056.0,2.0215740064855276e-05,0.0002462512238231795
0.5,34128.0,1.9248125316534957e-05,0.00023489413863089222
0.5,34200.0,1.832522503256791e-05,0.00022403944092630465
0.5,34272.0,1.7445056726896624e-05,0.0002136660033087878
0.5,34344.0,1.660572151104356e-05,0.00020375353196229183
0.5,34416.0,1.5805400784796225e-05,0.00019428253646225355
0.5,34488.0,1.5042353047042155e-05,0.00018523430053747346
0.5,34560.0,1.431491082341534e-05,0.00017659085378269877
0.5,34632.0,1.3621477706401272e-05,0.0001683349442693327
0.5,34704.0,1.2960525504898895e-05,0.00016045001206776988
0.5,34776.0,1.2330591499260722e-05,0.0001529201636230937
0.5,34848.0,1.1730275798293825e-05,0.0001457301469869776
0.5,34920.0,1.1158238794579863e-05,0.00013886532786031578
0.5,34992.0,1.0613198715823427e-05,0.0001323116664423196
0.5,35064.0,1.0093929268089061e-05,0.000126055695056948
0.5,35136.0,9.599257368032272e-06,0.00012008449652896046
0.5,35208.0,9.128060960979969e-06,0.0001143856833060397
0.5,35280.0,8.679266922710852e-06,0.00010894737727724646
0.5,35352.0,8.251849040939676e-06,0.00010375819030201683
0.5,35424.0,7.844826074177792e-06,9.880720539783282e-05
0.5,35496.0,7.457259886193764e-06,9.408395858798712e-05
0.5,35568.0,7.088253651473426e-06,8.957842138030968e-05
0.5,35640.0,6.7369501314846e-06,8.528098386335612e-05
0.5,35712.0,6.402530017215171e-06,8.118243839732031e-05
0.5,35784.0,6.084210337009643e-06,7.727396387409158e-05
0.5,35856.0,5.7812429268250295e-06,7.354711056066775e-05
0.5,35928.0,5.4929129605796526e-06,6.99937854577115e-05
0.5,36000.0,5.218537538569772e-06,6.660623820309297e-05
0.5,36072.0,4.957464332675202e-06,6.33770474820494e-05
0.5,36144.0,4.709070283877372e-06,6.029910792193505e-05
0.5,36216.0,4.472760353617479e-06,5.7365617478666306e-05
0.5,36288.0,4.247966323968115e-06,5.457006527436192e-05
0.5,36360.0,4.0341456464579465e-06,5.190621988759858e-05
0.5,36432.0,3.830780337258283e-06,4.9368118077097733e-05
0.5,36504.0,3.637375917435051e-06,4.695005392392204e-05
0.5,36576.0,3.4534603959030126e-06,4.464656837797065e-05
0.5,36648.0,3.2785832938574926e-06,4.245243919811514e-05
0.5,36720.0,3.1123147091725255e-06,4.0362671266080946e-05
0.5,36792.0,2.9542444192036525e-06,3.8372487275495355e-05
0.5,36864.0,2.8039810205554143e-06,3.6477318766969794e-05
0.5,36936.0,2.661151103984288e-06,3.467279750708485e-05
0.5,37008.0,2.5253984641891746e-06,3.295474719706703e-05
0.5,37080.0,2.3963833415565532e-06,3.1319175500499336e-05
0.5,37152.0,2.273781696235869e-06,2.9762266384381063e-05
0.5,37224.0,2.157284512002915e-06,2.8280372741562584e-05
0.5,37296.0,2.046597129858835e-06,2.6870009316581898e-05
0.5,37368.0,1.9414386089846098e-06,2.5527845902217902e-05
0.5,37440.0,1.8415411153703616e-06,2.4250700796812907e-05
0.5,37512.0,1.746649335455141e-06,2.3035534524495916e-05
0.5,37584.0,1.6565199153989596e-06,2.1879443808359154e-05
0.5,37656.0,1.5709209238911003e-06,2.077965577029772e-05
0.5,37728.0,1.4896313380323224e-06,1.9733522370302124e-05
0.5,37800.0,1.4124405505690572e-06,1.87385150695718e-05
0.5,37872.0,1.3391478994196398e-06,1.7792219696843856e-05
