hour,heat_demand_mw,price_eur_per_mwh,p_ch_mw,p_dis_mw,level_mwh,elec_to_heater_mw,heater_heat_mw,boiler_heat_mw,unmet_heat_mw,electricity_cost_eur,fuel_cost_eur,carbon_cost_eur,penalty_cost_eur,emissions_tco2,heat_balance_residual_mw
4776,10.0,74.32902480546426,0.0,0.0,-0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4777,10.0,51.36436998581626,0.0,0.0,-0.0,10.1010101010101,10.0,0.0,0.0,518.8320200587501,0.0,0.0,0.0,0.0,0.0
4778,10.0,57.187245726529696,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
4779,10.0,48.624452758173845,-0.0,0.0,-0.0,10.1010101010101,10.0,0.0,0.0,491.1560884664024,0.0,0.0,0.0,0.0,0.0
4780,10.0,33.90913880577919,4.85,0.0,4.607499999999999,15.0,14.85,0.0,0.0,508.6370820866879,0.0,0.0,0.0,0.0,0.0
4781,10.0,40.50495424409151,4.85,0.0,9.212696249999999,15.0,14.85,0.0,0.0,607.5743136613726,0.0,0.0,0.0,0.0,0.0
4782,10.0,37.79977557230023,4.85,0.0,13.815589901874997,15.0,14.85,0.0,0.0,566.9966335845035,0.0,0.0,0.0,0.0,0.0
4783,10.0,38.27851051570717,4.85,0.0,18.416182106924058,15.0,14.85,0.0,0.0,574.1776577356076,0.0,0.0,0.0,0.0,0.0
4784,10.0,29.595629691516407,4.85,0.0,23.014474015870594,15.0,14.85,0.0,0.0,443.9344453727461,0.0,0.0,0.0,0.0,0.0
4785,10.0,35.96865696671748,4.85,0.0,27.61046677886266,15.0,14.85,0.0,0.0,539.5298545007622,0.0,0.0,0.0,0.0,0.0
4786,10.0,44.5135592702457,4.85,0.0,32.20416154547323,15.0,14.85,0.0,0.0,667.7033890536856,0.0,0.0,0.0,0.0,0.0
4787,10.0,39.51756080676081,4.85,0.0,36.795559464700496,15.0,14.85,0.0,0.0,592.7634121014122,0.0,0.0,0.0,0.0,0.0
4788,10.0,61.00103165935547,0.0,4.849999999999998,31.671898527073417,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4789,10.0,61.803659614359674,0.0,4.849999999999998,26.550799419915144,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4790,10.0,64.15159247857876,0.0,4.849999999999998,21.43226086231045,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4791,10.0,79.24806162123919,0.0,4.849999999999998,16.31628157398456,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4792,10.0,83.73549967966447,0.0,4.849999999999998,11.202860275302834,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4793,10.0,79.78254919973793,0.0,4.849999999999998,6.091995687270449,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
4794,10.0,79.51350134871487,0.0,4.849999999999998,0.9836865315320802,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
